Time,R_IEV,R_FLX,R_PFX,R_INV,R_DFX,R_EVR,R_HEEL
2020-09-22 20:37:16.368026+00:00,,,,,,,
2020-09-22 20:37:16.376026+00:00,,,,,,,
2020-09-22 20:37:16.384026+00:00,,,,,,,
2020-09-22 20:37:16.392026+00:00,,,,,,,
2020-09-22 20:37:16.400026+00:00,,,,,,,
2020-09-22 20:37:16.408026+00:00,,,,,,,
2020-09-22 20:37:16.416026+00:00,,,,,,,
2020-09-22 20:37:16.424026+00:00,,,,,,,
2020-09-22 20:37:16.432026+00:00,,,,,,,
2020-09-22 20:37:16.440026+00:00,,,,,,,
2020-09-22 20:37:16.448026+00:00,,,,,,,
2020-09-22 20:37:16.456026+00:00,,,,,,,
2020-09-22 20:37:16.464026+00:00,,,,,,,
2020-09-22 20:37:16.472026+00:00,,,,,,,
2020-09-22 20:37:16.480026+00:00,,,,,,,
2020-09-22 20:37:16.488026+00:00,,,,,,,
2020-09-22 20:37:16.496026+00:00,,,,,,,
2020-09-22 20:37:16.504026+00:00,,,,,,,
2020-09-22 20:37:16.512026+00:00,,,,,,,
2020-09-22 20:37:16.520026+00:00,,,,,,,
2020-09-22 20:37:16.528026+00:00,,,,,,,
2020-09-22 20:37:16.536026+00:00,,,,,,,
2020-09-22 20:37:16.544026+00:00,,,,,,,
2020-09-22 20:37:16.552026+00:00,,,,,,,
2020-09-22 20:37:16.560026+00:00,,,,,,,
2020-09-22 20:37:16.568026+00:00,,,,,,,
2020-09-22 20:37:16.576026+00:00,,,,,,,
2020-09-22 20:37:16.584026+00:00,,,,,,,
2020-09-22 20:37:16.592026+00:00,,,,,,,
2020-09-22 20:37:16.600026+00:00,,,,,,,
2020-09-22 20:37:16.608026+00:00,,,,,,,
2020-09-22 20:37:16.616026+00:00,,,,,,,
2020-09-22 20:37:16.624026+00:00,,,,,,,
2020-09-22 20:37:16.632026+00:00,,,,,,,
2020-09-22 20:37:16.640026+00:00,,,,,,,
2020-09-22 20:37:16.648026+00:00,,,,,,,
2020-09-22 20:37:16.656026+00:00,,,,,,,
2020-09-22 20:37:16.664026+00:00,,,,,,,
2020-09-22 20:37:16.672026+00:00,,,,,,,
2020-09-22 20:37:16.680026+00:00,,,,,,,
2020-09-22 20:37:16.688026+00:00,,,,,,,
2020-09-22 20:37:16.696026+00:00,,,,,,,
2020-09-22 20:37:16.704026+00:00,,,,,,,
2020-09-22 20:37:16.712026+00:00,,,,,,,
2020-09-22 20:37:16.720026+00:00,,,,,,,
2020-09-22 20:37:16.728026+00:00,,,,,,,
2020-09-22 20:37:16.736026+00:00,,,,,,,
2020-09-22 20:37:16.744026+00:00,,,,,,,
2020-09-22 20:37:16.752026+00:00,,,,,,,
2020-09-22 20:37:16.760026+00:00,,,,,,,
2020-09-22 20:37:16.768026+00:00,,,,,,,
2020-09-22 20:37:16.776026+00:00,,,,,,,
2020-09-22 20:37:16.784026+00:00,,,,,,,
2020-09-22 20:37:16.792026+00:00,,,,,,,
2020-09-22 20:37:16.800026+00:00,,,,,,,
2020-09-22 20:37:16.808026+00:00,,,,,,,
2020-09-22 20:37:16.816026+00:00,,,,,,,
2020-09-22 20:37:16.824026+00:00,,,,,,,
2020-09-22 20:37:16.832026+00:00,,,,,,,
2020-09-22 20:37:16.840026+00:00,,,,,,,
2020-09-22 20:37:16.848026+00:00,,,,,,,
2020-09-22 20:37:16.856026+00:00,,,,,,,
2020-09-22 20:37:16.864026+00:00,,,,,,,
2020-09-22 20:37:16.872026+00:00,,,,,,,
2020-09-22 20:37:16.880026+00:00,,,,,,,
2020-09-22 20:37:16.888026+00:00,,,,,,,
2020-09-22 20:37:16.896026+00:00,,,,,,,
2020-09-22 20:37:16.904026+00:00,,,,,,,
2020-09-22 20:37:16.912026+00:00,,,,,,,
2020-09-22 20:37:16.920026+00:00,,,,,,,
2020-09-22 20:37:16.928026+00:00,,,545.4,542.6,567.9,601.9,370.6
2020-09-22 20:37:16.936026+00:00,,,545.1,542.8,567.8,602.3,370.2
2020-09-22 20:37:16.944026+00:00,,,544.8,542.8,568.5,602.4,370.3
2020-09-22 20:37:16.952026+00:00,,,545.5,542.9,567.8,601.8,370.4
2020-09-22 20:37:16.960026+00:00,,,544.2,541.4,567.7,602.9,370.9
2020-09-22 20:37:16.968026+00:00,,,545.2,543.0,568.0,602.5,370.6
2020-09-22 20:37:16.976026+00:00,,,544.8,542.4,567.9,602.7,370.4
2020-09-22 20:37:16.984026+00:00,,,544.8,542.9,569.0,602.1,369.6
2020-09-22 20:37:16.992026+00:00,,,545.1,542.8,568.1,602.2,370.8
2020-09-22 20:37:17.000026+00:00,,,545.1,542.4,567.3,602.1,370.7
2020-09-22 20:37:17.008026+00:00,,,545.1,542.4,568.2,602.6,370.3
2020-09-22 20:37:17.016026+00:00,,,545.2,542.5,568.0,602.2,370.8
2020-09-22 20:37:17.024026+00:00,,,545.3,542.4,567.9,601.7,370.9
2020-09-22 20:37:17.032026+00:00,,,545.6,542.9,567.9,602.0,370.6
2020-09-22 20:37:17.040026+00:00,,,545.4,543.2,568.0,601.6,370.3
2020-09-22 20:37:17.048026+00:00,,,543.8,540.9,567.8,604.1,372.5
2020-09-22 20:37:17.056026+00:00,,,544.3,543.6,569.5,603.5,369.7
2020-09-22 20:37:17.064026+00:00,,,545.5,542.2,567.4,602.3,370.8
2020-09-22 20:37:17.072026+00:00,,,545.7,543.5,568.1,601.8,369.8
2020-09-22 20:37:17.080026+00:00,,,545.6,543.0,568.6,602.1,369.5
2020-09-22 20:37:17.088026+00:00,,,545.3,542.5,568.0,602.5,370.9
2020-09-22 20:37:17.096026+00:00,,,546.5,542.6,567.1,602.0,371.7
2020-09-22 20:37:17.104026+00:00,,,545.8,542.4,567.8,602.3,370.6
2020-09-22 20:37:17.112026+00:00,,,545.0,542.7,568.2,602.8,370.3
2020-09-22 20:37:17.120026+00:00,,,545.4,542.7,567.8,602.1,370.6
2020-09-22 20:37:17.128026+00:00,,,545.5,542.4,567.8,602.2,370.5
2020-09-22 20:37:17.136026+00:00,,,545.1,542.8,568.6,602.6,370.2
2020-09-22 20:37:17.144026+00:00,,,545.4,542.8,567.9,601.9,370.0
2020-09-22 20:37:17.152026+00:00,,,545.4,542.9,568.3,602.3,370.4
2020-09-22 20:37:17.160026+00:00,,,545.4,542.5,568.0,602.3,370.3
2020-09-22 20:37:17.168026+00:00,,,545.2,542.7,568.0,602.0,370.6
2020-09-22 20:37:17.176026+00:00,,,545.5,542.6,567.8,602.2,370.7
2020-09-22 20:37:17.184026+00:00,,,543.6,542.8,569.4,603.2,369.7
2020-09-22 20:37:17.192026+00:00,,,545.4,543.3,568.2,602.3,370.2
2020-09-22 20:37:17.200026+00:00,,,545.0,542.7,568.2,602.4,369.9
2020-09-22 20:37:17.208026+00:00,,,545.0,542.8,568.6,602.5,370.3
2020-09-22 20:37:17.216026+00:00,,,545.4,542.6,568.4,602.3,370.8
2020-09-22 20:37:17.224026+00:00,,,544.9,541.7,567.6,602.6,370.7
2020-09-22 20:37:17.232026+00:00,,,545.7,542.7,568.2,602.1,370.4
2020-09-22 20:37:17.240026+00:00,,,545.2,542.3,568.4,602.3,370.5
2020-09-22 20:37:17.248026+00:00,,,545.2,543.0,567.8,602.1,370.3
2020-09-22 20:37:17.256026+00:00,,,545.2,543.3,568.2,601.8,370.2
2020-09-22 20:37:17.264026+00:00,,,545.2,543.1,568.6,601.9,370.1
2020-09-22 20:37:17.272026+00:00,,,545.0,542.1,567.7,602.7,370.3
2020-09-22 20:37:17.280026+00:00,,,545.2,542.9,567.8,601.7,370.7
2020-09-22 20:37:17.288026+00:00,,,544.8,542.6,567.9,602.1,370.2
2020-09-22 20:37:17.296026+00:00,,,545.1,542.8,568.1,602.1,370.2
2020-09-22 20:37:17.304026+00:00,,,544.7,542.7,568.3,602.1,370.7
2020-09-22 20:37:17.312026+00:00,,,545.16,543.25,568.11,602.69,370.19
2020-09-22 20:37:17.320026+00:00,,,546.5,544.18,568.6,601.88,370.52
2020-09-22 20:37:17.328026+00:00,,,545.27,542.67,568.18,602.12,370.58
2020-09-22 20:37:17.336026+00:00,,,545.5,542.91,567.99,602.29,370.21
2020-09-22 20:37:17.344026+00:00,,,545.21,542.82,567.93,601.9,370.37
2020-09-22 20:37:17.352026+00:00,,,545.59,543.5,568.91,602.33,369.41
2020-09-22 20:37:17.360026+00:00,,,544.78,542.78,568.26,603.0,370.64
2020-09-22 20:37:17.368026+00:00,,,544.91,542.59,567.7,602.47,370.69
2020-09-22 20:37:17.376026+00:00,,,545.02,542.4,568.02,602.11,370.38
2020-09-22 20:37:17.384026+00:00,,,545.71,542.7,568.4,602.4,370.01
2020-09-22 20:37:17.392026+00:00,,,545.28,542.72,568.41,602.0,370.38
2020-09-22 20:37:17.400026+00:00,,,545.21,542.86,568.68,602.53,369.39
2020-09-22 20:37:17.408026+00:00,,,545.49,541.29,567.81,603.1,370.03
2020-09-22 20:37:17.416026+00:00,,,544.99,542.23,568.71,602.89,370.43
2020-09-22 20:37:17.424026+00:00,,,545.22,542.42,567.86,602.57,371.09
2020-09-22 20:37:17.432026+00:00,,,545.71,543.11,567.62,601.59,370.27
2020-09-22 20:37:17.440026+00:00,,,545.59,542.9,568.22,602.12,370.21
2020-09-22 20:37:17.448026+00:00,,,545.51,543.21,568.3,602.41,370.3
2020-09-22 20:37:17.456026+00:00,,,545.9,543.09,568.4,602.6,370.3
2020-09-22 20:37:17.464026+00:00,,,545.5,542.69,568.17,602.27,370.4
2020-09-22 20:37:17.472026+00:00,,,545.79,542.6,567.49,601.82,370.3
2020-09-22 20:37:17.480026+00:00,,,545.18,542.7,567.93,602.61,370.5
2020-09-22 20:37:17.488026+00:00,,,545.42,543.03,568.62,601.97,370.17
2020-09-22 20:37:17.496026+00:00,,,545.79,543.59,568.69,601.72,369.51
2020-09-22 20:37:17.504026+00:00,,,545.28,542.67,568.17,602.31,370.21
2020-09-22 20:37:17.512026+00:00,,,545.21,542.39,567.81,602.1,370.21
2020-09-22 20:37:17.520026+00:00,,,545.41,542.42,568.41,602.5,370.8
2020-09-22 20:37:17.528026+00:00,,,545.39,543.22,568.3,601.97,370.17
2020-09-22 20:37:17.536026+00:00,,,545.21,542.98,568.28,601.84,370.13
2020-09-22 20:37:17.544026+00:00,,,545.81,542.6,567.7,603.0,370.9
2020-09-22 20:37:17.552026+00:00,,,545.6,542.8,567.89,601.87,370.29
2020-09-22 20:37:17.560026+00:00,,,545.9,542.6,567.39,602.11,370.6
2020-09-22 20:37:17.568026+00:00,,,545.38,542.81,568.04,602.23,370.09
2020-09-22 20:37:17.576026+00:00,,,544.98,542.57,568.57,603.1,370.52
2020-09-22 20:37:17.584026+00:00,,,544.71,542.03,567.4,602.49,370.7
2020-09-22 20:37:17.592026+00:00,,,545.3,543.41,568.31,602.7,370.38
2020-09-22 20:37:17.600026+00:00,,,545.0,542.69,567.68,602.29,370.22
2020-09-22 20:37:17.608026+00:00,,,545.52,543.31,567.91,602.29,370.69
2020-09-22 20:37:17.616026+00:00,,,545.8,543.1,568.11,602.11,370.09
2020-09-22 20:37:17.624026+00:00,,,545.38,543.08,568.4,602.83,370.19
2020-09-22 20:37:17.632026+00:00,,,544.89,542.4,568.18,602.97,369.8
2020-09-22 20:37:17.640026+00:00,,,545.12,542.9,567.69,602.2,370.11
2020-09-22 20:37:17.648026+00:00,,,545.61,542.49,567.61,602.6,370.09
2020-09-22 20:37:17.656026+00:00,,,545.59,542.92,567.92,602.2,370.01
2020-09-22 20:37:17.664026+00:00,,,545.28,542.97,568.42,602.5,370.2
2020-09-22 20:37:17.672026+00:00,,,545.45,542.43,568.36,601.98,370.12
2020-09-22 20:37:17.680026+00:00,,,546.57,543.91,567.29,601.81,370.8
2020-09-22 20:37:17.688026+00:00,,,544.77,542.76,567.92,602.21,370.07
2020-09-22 20:37:17.696026+00:00,,,545.56,542.72,567.99,602.28,370.03
2020-09-22 20:37:17.704026+00:00,,,545.61,543.03,567.9,601.99,370.41
2020-09-22 20:37:17.712026+00:00,,,545.53,543.16,568.26,602.26,370.16
2020-09-22 20:37:17.720026+00:00,,,544.48,542.48,568.65,602.91,369.93
2020-09-22 20:37:17.728026+00:00,,,545.27,542.73,567.68,602.45,370.5
2020-09-22 20:37:17.736026+00:00,,,545.34,542.79,568.24,602.1,370.09
2020-09-22 20:37:17.744026+00:00,,,544.99,542.84,568.16,602.21,370.16
2020-09-22 20:37:17.752026+00:00,,,546.61,543.26,567.68,602.33,369.63
2020-09-22 20:37:17.760026+00:00,,,545.34,543.02,568.2,602.45,370.13
2020-09-22 20:37:17.768026+00:00,,,545.61,544.76,569.17,601.72,368.81
2020-09-22 20:37:17.776026+00:00,,,545.4,542.39,567.96,602.62,370.28
2020-09-22 20:37:17.784026+00:00,,,545.59,542.75,568.32,602.18,370.19
2020-09-22 20:37:17.792026+00:00,,,545.3,542.79,568.09,602.54,370.31
2020-09-22 20:37:17.800026+00:00,,,545.61,542.82,567.94,602.56,370.19
2020-09-22 20:37:17.808026+00:00,,,545.48,543.24,567.22,602.0,370.1
2020-09-22 20:37:17.816026+00:00,,,545.15,543.6,568.15,602.42,370.21
2020-09-22 20:37:17.824026+00:00,,,544.84,543.26,568.08,602.29,370.16
2020-09-22 20:37:17.832026+00:00,,,545.74,542.89,568.02,602.31,369.71
2020-09-22 20:37:17.840026+00:00,,,545.57,542.77,568.32,602.27,370.35
2020-09-22 20:37:17.848026+00:00,,,545.41,542.53,568.41,602.03,370.61
2020-09-22 20:37:17.856026+00:00,,,545.48,542.83,568.35,602.74,371.08
2020-09-22 20:37:17.864026+00:00,,,545.08,541.59,567.72,602.93,371.64
2020-09-22 20:37:17.872026+00:00,,,545.1,542.91,568.54,602.93,370.12
2020-09-22 20:37:17.880026+00:00,,,544.99,543.26,568.52,601.9,370.13
2020-09-22 20:37:17.888026+00:00,,,544.88,542.47,568.78,602.73,370.43
2020-09-22 20:37:17.896026+00:00,,,545.59,543.5,568.43,602.39,370.33
2020-09-22 20:37:17.904026+00:00,,,547.78,545.22,568.96,602.48,369.51
2020-09-22 20:37:17.912026+00:00,,,545.46,542.59,568.0,601.98,370.34
2020-09-22 20:37:17.920026+00:00,,,545.21,543.26,568.94,602.12,370.31
2020-09-22 20:37:17.928026+00:00,,,545.2,543.16,568.43,602.2,370.48
2020-09-22 20:37:17.936026+00:00,,,545.29,542.67,568.27,602.46,369.98
2020-09-22 20:37:17.944026+00:00,,,545.09,541.98,568.78,602.94,370.49
2020-09-22 20:37:17.952026+00:00,,,545.22,541.08,566.68,601.79,371.39
2020-09-22 20:37:17.960026+00:00,,,545.67,543.44,568.28,602.65,370.45
2020-09-22 20:37:17.968026+00:00,,,546.27,543.42,567.98,602.47,370.4
2020-09-22 20:37:17.976026+00:00,,,545.24,542.59,568.2,602.44,370.42
2020-09-22 20:37:17.984026+00:00,,,545.34,543.26,568.02,603.01,370.58
2020-09-22 20:37:17.992026+00:00,,,545.83,543.47,568.51,602.56,370.08
2020-09-22 20:37:18.000026+00:00,,,546.01,542.99,568.17,602.41,370.22
2020-09-22 20:37:18.008026+00:00,,,545.98,543.21,568.0,602.5,370.29
2020-09-22 20:37:18.016026+00:00,,,545.7,543.21,568.36,602.28,369.97
2020-09-22 20:37:18.024026+00:00,,,545.67,543.02,568.77,602.6,370.06
2020-09-22 20:37:18.032026+00:00,,,546.07,543.12,568.11,602.65,369.79
2020-09-22 20:37:18.040026+00:00,,,548.18,546.05,568.7,599.23,367.16
2020-09-22 20:37:18.048026+00:00,,,545.99,542.76,567.94,602.65,370.57
2020-09-22 20:37:18.056026+00:00,,,546.22,543.45,567.85,601.95,370.12
2020-09-22 20:37:18.064026+00:00,,,545.88,543.08,568.61,602.55,369.92
2020-09-22 20:37:18.072026+00:00,,,545.78,543.2,568.44,602.72,370.08
2020-09-22 20:37:18.080026+00:00,,,545.36,542.97,568.8,602.87,369.84
2020-09-22 20:37:18.088026+00:00,,,545.46,542.91,567.47,602.23,370.53
2020-09-22 20:37:18.096026+00:00,,,546.04,543.01,568.26,602.13,370.13
2020-09-22 20:37:18.104026+00:00,,,546.1,543.26,568.2,602.66,369.94
2020-09-22 20:37:18.112026+00:00,,,546.21,543.55,568.27,602.75,370.28
2020-09-22 20:37:18.120026+00:00,,,545.91,542.74,568.03,602.6,369.91
2020-09-22 20:37:18.128026+00:00,,,545.19,542.85,568.65,603.59,370.3
2020-09-22 20:37:18.136026+00:00,,,545.77,543.2,568.55,602.78,370.0
2020-09-22 20:37:18.144026+00:00,,,546.0,542.85,568.07,603.07,370.31
2020-09-22 20:37:18.152026+00:00,,,546.02,542.75,567.99,602.24,370.2
2020-09-22 20:37:18.160026+00:00,,,546.33,543.48,567.92,602.46,370.14
2020-09-22 20:37:18.168026+00:00,,,545.83,543.11,568.08,602.93,370.0
2020-09-22 20:37:18.176026+00:00,,,544.88,541.73,567.51,602.6,371.26
2020-09-22 20:37:18.184026+00:00,,,546.5,543.23,567.13,601.89,370.71
2020-09-22 20:37:18.192026+00:00,,,546.3,543.41,567.89,602.21,370.12
2020-09-22 20:37:18.200026+00:00,,,546.32,543.72,568.47,602.14,369.71
2020-09-22 20:37:18.208026+00:00,,,545.51,543.54,568.5,602.87,370.4
2020-09-22 20:37:18.216026+00:00,,,546.25,543.07,567.6,602.83,370.77
2020-09-22 20:37:18.224026+00:00,,,545.95,542.98,568.37,602.16,370.15
2020-09-22 20:37:18.232026+00:00,,,545.67,542.68,568.24,602.35,370.38
2020-09-22 20:37:18.240026+00:00,,,545.62,542.44,567.76,602.6,370.88
2020-09-22 20:37:18.248026+00:00,4.0045436694254155,-5.634742803563782,546.21,542.7,567.85,602.52,370.38
2020-09-22 20:37:18.256026+00:00,3.9978326788729017,-6.006372206608604,546.22,543.57,567.64,602.39,370.19
2020-09-22 20:37:18.264026+00:00,3.865448337806815,-5.8028979329428445,544.76,541.16,566.58,601.53,369.21
2020-09-22 20:37:18.272026+00:00,3.860917176299913,-5.96880643184727,546.47,543.99,568.44,602.7,370.19
2020-09-22 20:37:18.280026+00:00,3.7104397427196547,-5.078865868985562,545.63,543.26,568.38,602.78,370.3
